,Site_Id,Date,Hour,HourDescription,Value,AirQualityCategory,DeterminingPollutant,Parameter.ParameterCode,Parameter.ParameterDescription,Parameter.Units,Parameter.UnitsDescription,Parameter.Category,Parameter.SubCategory,Parameter.Frequency
123,300,2022-02-03,1,12 am - 1 am,,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
124,33,2022-02-04,1,12 am - 1 am,0.235,,,NEPH,Nephelometer ,10^-4 m^-1,10^-4 m^-1,Maximums,Daily,Hourly average
125,33,2022-02-04,1,12 am - 1 am,1.081252,GOOD,,NO2,Nitrogen Dioxide,pphm,parts per hundred million,Maximums,Daily,Hourly average
126,33,2022-02-04,1,12 am - 1 am,1.725225,GOOD,,OZONE,Ozone,pphm,parts per hundred million,Maximums,Daily,Hourly average
127,33,2022-02-04,1,12 am - 1 am,1.755825,GOOD,,OZONE,Ozone,pphm,parts per hundred million,Maximums,Daily,Hourly average
128,33,2022-02-04,1,12 am - 1 am,,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
129,33,2022-02-04,1,12 am - 1 am,31.274,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
130,39,2022-02-04,1,12 am - 1 am,0.115426,,,CO,Carbon monoxide,ppm,parts per million,Maximums,Daily,Hourly average
131,39,2022-02-04,1,12 am - 1 am,0.147067,,,CO,Carbon monoxide,ppm,parts per million,Maximums,Daily,Hourly average
132,39,2022-02-04,1,12 am - 1 am,0.177,,,NEPH,Nephelometer ,10^-4 m^-1,10^-4 m^-1,Maximums,Daily,Hourly average
133,39,2022-02-04,1,12 am - 1 am,0.566166,GOOD,,NO2,Nitrogen Dioxide,pphm,parts per hundred million,Maximums,Daily,Hourly average
134,39,2022-02-04,1,12 am - 1 am,1.554875,GOOD,,OZONE,Ozone,pphm,parts per hundred million,Maximums,Daily,Hourly average
135,39,2022-02-04,1,12 am - 1 am,,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
136,39,2022-02-04,1,12 am - 1 am,24.324,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
137,107,2022-02-04,1,12 am - 1 am,-0.21595,,,CO,Carbon monoxide,ppm,parts per million,Maximums,Daily,Hourly average
138,107,2022-02-04,1,12 am - 1 am,-0.21302,,,CO,Carbon monoxide,ppm,parts per million,Maximums,Daily,Hourly average
139,107,2022-02-04,1,12 am - 1 am,0.136,,,NEPH,Nephelometer ,10^-4 m^-1,10^-4 m^-1,Maximums,Daily,Hourly average
